Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
0,9300,2140,76,HS,"[(53, 30), (98, 30), (98, 58), (53, 58)]"
0,9300,2140,76,9711,"[(39, 90), (109, 91), (109, 120), (39, 119)]"
1,6398,446,76,TI,"[(61, 31), (90, 31), (90, 59), (61, 59)]"
1,6398,446,76,5740,"[(38, 90), (114, 90), (114, 117), (38, 117)]"
2,6602,446,76,TI,"[(61, 30), (90, 30), (90, 59), (61, 59)]"
2,6602,446,76,5741,"[(42, 88), (112, 87), (113, 117), (43, 118)]"
3,6806,446,76,PI,"[(61, 31), (90, 31), (90, 59), (61, 59)]"
3,6806,446,76,3730,"[(43, 89), (117, 89), (117, 117), (43, 117)]"
4,7010,446,76,PI,"[(61, 31), (95, 31), (95, 59), (61, 59)]"
4,7010,446,76,3731,"[(43, 89), (112, 89), (112, 117), (43, 117)]"
5,7214,446,76,FI,"[(62, 31), (92, 31), (92, 59), (62, 59)]"
5,7214,446,76,1730,"[(44, 90), (117, 90), (117, 118), (44, 118)]"
6,2054,1674,76,PT,"[(56, 30), (100, 30), (100, 59), (56, 59)]"
6,2054,1674,76,3060,"[(39, 94), (114, 94), (114, 121), (39, 121)]"
7,7560,5514,76,SY,"[(52, 30), (98, 30), (98, 58), (52, 58)]"
7,7560,5514,76,7775,"[(37, 92), (115, 93), (115, 122), (37, 121)]"
8,9644,4074,74,FT,"[(54, 30), (97, 30), (97, 57), (54, 57)]"
8,9644,4074,74,1052,"[(39, 91), (112, 90), (112, 119), (39, 120)]"
9,4904,4786,76,PG,"[(53, 30), (101, 30), (101, 59), (53, 59)]"
9,4904,4786,76,4050,"[(37, 94), (114, 94), (114, 121), (37, 121)]"
10,6322,4178,76,TT,"[(55, 28), (100, 28), (100, 59), (55, 59)]"
10,6322,4178,76,5740,"[(23, 89), (96, 90), (96, 125), (23, 124)]"
10,6322,4178,76,C,"[(107, 91), (131, 91), (131, 125), (107, 125)]"
10,6322,4178,76,/,"[(130, 91), (151, 91), (151, 125), (130, 125)]"
11,6076,5124,73,PG,"[(49, 27), (98, 27), (98, 56), (49, 56)]"
11,6076,5124,73,4730,"[(33, 91), (111, 91), (111, 119), (33, 119)]"
12,8434,2608,76,XS,"[(52, 30), (100, 30), (100, 59), (52, 59)]"
12,8434,2608,76,7777,"[(38, 93), (113, 93), (113, 121), (38, 121)]"
13,6014,3506,76,PT,"[(55, 31), (101, 31), (101, 58), (55, 58)]"
13,6014,3506,76,3071,"[(39, 93), (109, 93), (109, 121), (39, 121)]"
14,6304,4374,74,PT,"[(53, 29), (98, 29), (98, 56), (53, 56)]"
14,6304,4374,74,3730,"[(20, 91), (92, 91), (92, 121), (20, 121)]"
14,6304,4374,74,A,"[(105, 91), (129, 91), (129, 121), (105, 121)]"
15,8744,2828,74,HL,"[(53, 27), (97, 28), (96, 56), (52, 55)]"
15,8744,2828,74,7798,"[(36, 91), (108, 91), (108, 118), (36, 118)]"
16,6328,3286,74,FT,"[(54, 28), (95, 28), (95, 55), (54, 55)]"
16,6328,3286,74,1730,"[(20, 88), (94, 89), (93, 124), (19, 123)]"
16,6328,3286,74,C,"[(106, 90), (128, 90), (127, 124), (105, 124)]"
16,6328,3286,74,",","[(127, 90), (140, 90), (139, 124), (126, 124)]"
17,4816,4528,76,PT,"[(56, 29), (100, 29), (100, 57), (56, 57)]"
17,4816,4528,76,3731,"[(23, 90), (91, 89), (91, 120), (23, 121)]"
17,4816,4528,76,B,"[(108, 90), (129, 90), (129, 120), (108, 120)]"
18,6532,2090,74,FI,"[(61, 29), (91, 29), (91, 57), (61, 57)]"
18,6532,2090,74,1730,"[(39, 92), (111, 92), (111, 120), (39, 120)]"
19,1500,1254,76,PY,"[(54, 30), (100, 30), (100, 58), (54, 58)]"
19,1500,1254,76,3060,"[(39, 93), (111, 92), (111, 120), (39, 121)]"
20,6538,4488,76,PT,"[(55, 30), (100, 30), (100, 57), (55, 57)]"
20,6538,4488,76,3730,"[(24, 91), (98, 92), (98, 122), (24, 121)]"
20,6538,4488,76,B,"[(111, 91), (132, 91), (132, 121), (111, 121)]"
21,7500,2814,76,НА,"[(53, 29), (99, 29), (99, 58), (53, 58)]"
21,7500,2814,76,7713,"[(38, 93), (112, 93), (112, 121), (38, 121)]"
22,7724,2814,76,XHL,"[(42, 30), (110, 30), (110, 59), (42, 59)]"
22,7724,2814,76,9722,"[(39, 92), (114, 92), (114, 121), (39, 121)]"
23,5036,4046,73,TT,"[(52, 23), (97, 24), (96, 57), (51, 56)]"
23,5036,4046,73,5741,"[(18, 88), (90, 87), (91, 118), (19, 119)]"
23,5036,4046,73,C,"[(103, 87), (129, 87), (129, 117), (104, 117)]"
24,6216,4928,74,PDG,"[(38, 27), (108, 28), (108, 58), (38, 57)]"
24,6216,4928,74,4052,"[(34, 91), (109, 91), (109, 120), (34, 120)]"
25,9434,3580,73,TG,"[(51, 26), (94, 25), (94, 55), (51, 56)]"
