Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
0,5430,4420,76,PIT,"[(51, 13), (100, 14), (99, 43), (50, 42)]"
0,5430,4420,76,573P,"[(39, 59), (110, 57), (111, 85), (40, 87)]"
0,5430,4420,76,04C,"[(46, 99), (104, 99), (104, 125), (46, 125)]"
1,2924,3894,76,PIT,"[(53, 16), (100, 16), (100, 41), (53, 41)]"
1,2924,3894,76,573P,"[(39, 60), (110, 59), (110, 86), (39, 87)]"
1,2924,3894,76,08,"[(59, 101), (92, 101), (92, 127), (59, 127)]"
1,2924,3894,76,80,"[(88, 91), (88, 147), (62, 147), (62, 91)]"
2,3594,2140,76,HS,"[(55, 16), (96, 16), (96, 42), (55, 42)]"
2,3594,2140,76,573P,"[(39, 61), (112, 61), (112, 86), (39, 86)]"
2,3594,2140,76,50,"[(58, 101), (95, 101), (95, 126), (58, 126)]"
3,4020,3280,76,PIT,"[(52, 15), (100, 15), (100, 40), (52, 40)]"
3,4020,3280,76,573P,"[(40, 58), (109, 56), (110, 87), (41, 89)]"
3,4020,3280,76,02,"[(56, 100), (94, 100), (94, 126), (56, 126)]"
4,5820,4420,76,TI,"[(61, 14), (91, 14), (91, 42), (61, 42)]"
4,5820,4420,76,573P,"[(40, 58), (109, 57), (110, 88), (41, 89)]"
4,5820,4420,76,02,"[(56, 100), (94, 100), (94, 126), (56, 126)]"
5,5992,4420,76,TW,"[(54, 15), (98, 15), (98, 40), (54, 40)]"
5,5992,4420,76,573P,"[(40, 60), (112, 59), (112, 85), (40, 86)]"
5,5992,4420,76,02,"[(58, 100), (94, 100), (94, 126), (58, 126)]"
6,5954,1834,76,XFD,"[(44, 16), (107, 17), (107, 43), (44, 42)]"
6,5954,1834,76,573P,"[(41, 60), (111, 60), (111, 87), (41, 87)]"
6,5954,1834,76,02,"[(57, 102), (95, 102), (95, 128), (57, 128)]"
7,6314,1834,76,XFD,"[(43, 15), (106, 15), (106, 43), (43, 43)]"
7,6314,1834,76,573P,"[(38, 61), (111, 60), (111, 86), (38, 87)]"
7,6314,1834,76,04,"[(56, 102), (93, 102), (93, 128), (56, 128)]"
8,6492,1834,76,XFD,"[(42, 15), (106, 15), (106, 42), (42, 42)]"
8,6492,1834,76,573P,"[(38, 59), (111, 57), (112, 85), (39, 87)]"
8,6492,1834,76,05,"[(56, 101), (93, 101), (93, 126), (56, 126)]"
9,4354,3198,76,PIT,"[(51, 14), (100, 15), (100, 42), (51, 41)]"
9,4354,3198,76,573P,"[(38, 59), (111, 57), (112, 85), (39, 87)]"
9,4354,3198,76,03,"[(57, 100), (93, 100), (93, 126), (57, 126)]"
9,4354,3198,76,33,"[(87, 88), (90, 143), (60, 144), (57, 90)]"
