Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
0,6038,4856,59,B,"[(0, 16), (18, 16), (18, 44), (0, 44)]"
0,6038,4856,59,"""","[(15, 15), (30, 15), (30, 43), (15, 43)]"
0,6038,4856,59,SC,"[(82, 89), (128, 89), (128, 119), (82, 119)]"
0,6038,4856,59,2,"[(119, 3), (140, 3), (140, 29), (119, 29)]"
0,6038,4856,59,"""","[(135, 3), (153, 3), (153, 29), (135, 29)]"
0,6038,4856,59,(,"[(116, 172), (128, 172), (128, 205), (116, 205)]"
0,6038,4856,59,TYPE,"[(126, 172), (211, 172), (211, 205), (126, 205)]"
2,5964,1412,38,ra,"[(4, 124), (31, 123), (32, 135), (5, 135)]"
3,4888,1418,38,2003,"[(0, 1), (62, 1), (62, 20), (0, 20)]"
6,8296,1812,59,ROVIDE,"[(1, 0), (124, 0), (124, 26), (1, 26)]"
6,8296,1812,59,HIGH,"[(136, 0), (211, 0), (211, 26), (136, 26)]"
6,8296,1812,59,PARE,"[(3, 43), (88, 43), (88, 73), (3, 73)]"
6,8296,1812,59,CONNE,"[(99, 43), (211, 43), (211, 73), (99, 73)]"
6,8296,1812,59,ENDOR,"[(0, 88), (124, 87), (124, 122), (0, 123)]"
6,8296,1812,59,PACK,"[(124, 87), (211, 86), (211, 121), (124, 122)]"
6,8296,1812,59,ROVISION,"[(2, 134), (158, 134), (158, 169), (2, 169)]"
6,8296,1812,59,FO,"[(171, 134), (211, 134), (211, 169), (171, 169)]"
6,8296,1812,59,OSASCO,"[(2, 186), (139, 186), (139, 211), (2, 211)]"
6,8296,1812,59,FITT,"[(152, 186), (211, 186), (211, 211), (152, 211)]"
7,8500,1860,59,ECTION,"[(0, 0), (116, 0), (116, 28), (0, 28)]"
7,8500,1860,59,.,"[(127, 0), (134, 0), (134, 28), (127, 28)]"
7,8500,1860,59,KAGE,"[(0, 41), (83, 40), (84, 74), (0, 75)]"
7,8500,1860,59,PANEL,"[(91, 40), (205, 38), (205, 71), (92, 73)]"
7,8500,1860,59,OR,"[(0, 86), (36, 86), (36, 120), (0, 120)]"
7,8500,1860,59,N2,"[(44, 86), (89, 86), (89, 120), (44, 120)]"
7,8500,1860,59,PURGE,"[(97, 86), (211, 87), (211, 121), (97, 120)]"
7,8500,1860,59,TINGS,"[(0, 138), (98, 138), (98, 168), (0, 168)]"
7,8500,1860,59,OR,"[(110, 138), (158, 138), (158, 168), (110, 168)]"
7,8500,1860,59,EQ,"[(169, 138), (211, 138), (211, 168), (169, 168)]"
7,8500,1860,59,NIY,"[(0, 186), (55, 186), (55, 211), (0, 211)]"
7,8500,1860,59,FOR,"[(67, 186), (136, 186), (136, 211), (67, 211)]"
7,8500,1860,59,COR,"[(146, 186), (211, 186), (211, 211), (146, 211)]"
8,9134,6646,57,C,"[(43, 65), (103, 65), (102, 140), (42, 140)]"
