Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
0,3130,2224,51,FO,"[(71, 61), (115, 61), (115, 86), (71, 86)]"
0,3130,2224,51,1512,"[(60, 94), (130, 94), (130, 121), (60, 121)]"
1,666,2116,51,140,"[(1, 17), (64, 19), (63, 45), (0, 43)]"
1,666,2116,51,LPI,"[(6, 143), (69, 142), (69, 168), (6, 169)]"
1,666,2116,51,FY,"[(74, 55), (111, 55), (111, 80), (74, 80)]"
1,666,2116,51,3310,"[(58, 103), (124, 103), (124, 129), (58, 129)]"
2,3752,1356,51,142,"[(12, 19), (75, 19), (75, 44), (12, 44)]"
2,3752,1356,51,LPI,"[(0, 141), (60, 144), (59, 171), (0, 168)]"
2,3752,1356,51,ΠΡΟΙ,"[(57, 51), (115, 54), (113, 85), (55, 82)]"
2,3752,1356,51,3513,"[(56, 101), (128, 102), (128, 128), (56, 127)]"
3,2766,790,45,FO,"[(63, 52), (102, 52), (102, 78), (63, 78)]"
3,2766,790,45,1522,"[(51, 85), (116, 86), (116, 112), (51, 111)]"
4,3238,1356,45,POI,"[(54, 50), (109, 49), (109, 76), (54, 77)]"
4,3238,1356,45,(,"[(35, 85), (50, 85), (50, 113), (35, 113)]"
4,3238,1356,45,3513,"[(44, 85), (119, 85), (119, 113), (44, 113)]"
4,3238,1356,45,),"[(114, 85), (129, 85), (129, 113), (114, 113)]"
5,3574,1356,51,140,"[(15, 18), (79, 17), (79, 42), (15, 43)]"
5,3574,1356,51,ค,"[(66, 50), (112, 50), (112, 87), (66, 87)]"
5,3574,1356,51,513,"[(68, 103), (124, 103), (124, 129), (68, 129)]"
5,3574,1356,51,LPI,"[(5, 142), (72, 142), (72, 169), (5, 169)]"
6,3380,1356,51,POAH,"[(52, 62), (123, 62), (123, 88), (52, 88)]"
7,1782,1654,45,ראך,"[(106, 82), (46, 83), (45, 50), (105, 49)]"
8,3642,264,52,E,"[(0, 70), (16, 70), (16, 98), (0, 98)]"
8,3642,264,52,PI,"[(71, 64), (113, 64), (113, 90), (71, 90)]"
8,3642,264,52,\,"[(47, 99), (58, 99), (58, 126), (47, 126)]"
8,3642,264,52,3512,"[(57, 98), (131, 97), (131, 125), (58, 126)]"
8,3642,264,52,],"[(129, 97), (140, 97), (140, 124), (129, 124)]"
8,3642,264,52,140,"[(38, 153), (99, 153), (99, 178), (38, 178)]"
9,2210,2230,51,1,"[(0, 106), (11, 106), (11, 132), (0, 132)]"
9,2210,2230,51,EDAHD,"[(54, 62), (136, 61), (136, 88), (54, 89)]"
10,2044,2092,52,FY,"[(74, 57), (112, 57), (112, 82), (74, 82)]"
10,2044,2092,52,ル,"[(96, 105), (139, 106), (139, 132), (96, 131)]"
10,2044,2092,52,140,"[(130, 27), (185, 27), (185, 53), (130, 53)]"
10,2044,2092,52,LPI,"[(107, 139), (174, 139), (174, 169), (107, 169)]"
11,2272,2388,50,123,"[(0, 22), (66, 22), (66, 48), (0, 48)]"
11,2272,2388,50,POT,"[(49, 59), (124, 59), (124, 84), (49, 84)]"
11,2272,2388,50,\,"[(44, 97), (62, 97), (62, 122), (44, 122)]"
11,2272,2388,50,3511,"[(56, 97), (122, 97), (122, 122), (56, 122)]"
11,2272,2388,50,|,"[(82, 138), (92, 138), (92, 170), (82, 170)]"
11,2272,2388,50,LP2,"[(96, 138), (164, 138), (164, 170), (96, 170)]"
11,2272,2388,50,|,"[(169, 138), (175, 138), (175, 170), (169, 170)]"
12,736,890,52,HTS,"[(62, 62), (123, 62), (123, 88), (62, 88)]"
